steps,learning_rates_per_step
134,1.1276297335203366e-05
135,1.1360448807854136e-05
136,1.1444600280504907e-05
137,1.152875175315568e-05
138,1.1612903225806451e-05
139,1.1697054698457222e-05
140,1.1781206171107994e-05
141,1.1865357643758764e-05
142,1.1949509116409536e-05
143,1.2033660589060308e-05
144,1.2117812061711079e-05
145,1.220196353436185e-05
146,1.2286115007012622e-05
147,1.2370266479663394e-05
148,1.2454417952314164e-05
149,1.2538569424964936e-05
150,1.2622720897615707e-05
151,1.2706872370266477e-05
152,1.2791023842917251e-05
153,1.2875175315568021e-05
154,1.2959326788218792e-05
155,1.3043478260869564e-05
156,1.3127629733520335e-05
157,1.3211781206171108e-05
158,1.3295932678821879e-05
159,1.338008415147265e-05
160,1.3464235624123421e-05
161,1.3548387096774192e-05
162,1.3632538569424964e-05
163,1.3716690042075736e-05
164,1.3800841514726507e-05
165,1.3884992987377277e-05
166,1.396914446002805e-05
167,1.4053295932678821e-05
168,1.4137447405329592e-05
169,1.4221598877980364e-05
170,1.4305750350631134e-05
171,1.4389901823281905e-05
172,1.4474053295932679e-05
173,1.455820476858345e-05
174,1.464235624123422e-05
175,1.4726507713884992e-05
176,1.4810659186535762e-05
177,1.4894810659186536e-05
178,1.4978962131837306e-05
179,1.5063113604488077e-05
180,1.5147265077138847e-05
181,1.523141654978962e-05
182,1.531556802244039e-05
183,1.5399719495091164e-05
184,1.5483870967741933e-05
185,1.5568022440392705e-05
186,1.5652173913043477e-05
187,1.573632538569425e-05
188,1.582047685834502e-05
189,1.590462833099579e-05
190,1.5988779803646562e-05
191,1.6072931276297334e-05
192,1.6157082748948106e-05
193,1.624123422159888e-05
194,1.6325385694249647e-05
195,1.640953716690042e-05
196,1.6493688639551188e-05
197,1.6577840112201964e-05
198,1.6661991584852732e-05
199,1.6746143057503505e-05
200,1.6830294530154277e-05
201,1.6914446002805046e-05
202,1.699859747545582e-05
203,1.708274894810659e-05
204,1.7166900420757362e-05
205,1.7251051893408134e-05
206,1.7335203366058903e-05
207,1.7419354838709675e-05
208,1.7503506311360447e-05
209,1.758765778401122e-05
210,1.7671809256661988e-05
211,1.775596072931276e-05
212,1.7840112201963532e-05
213,1.7924263674614305e-05
214,1.8008415147265077e-05
215,1.8092566619915845e-05
216,1.8176718092566618e-05
217,1.826086956521739e-05
218,1.8345021037868162e-05
219,1.8429172510518934e-05
220,1.8513323983169703e-05
221,1.8597475455820475e-05
222,1.8681626928471247e-05
223,1.876577840112202e-05
224,1.884992987377279e-05
225,1.893408134642356e-05
226,1.9018232819074332e-05
227,1.91023842917251e-05
228,1.9186535764375877e-05
229,1.927068723702665e-05
230,1.9354838709677417e-05
231,1.943899018232819e-05
232,1.952314165497896e-05
233,1.960729312762973e-05
234,1.9691444600280506e-05
235,1.9775596072931275e-05
236,1.9859747545582047e-05
237,1.9943899018232816e-05
238,2.0028050490883588e-05
239,2.0112201963534363e-05
240,2.0196353436185132e-05
241,2.0280504908835904e-05
242,2.0364656381486673e-05
243,2.0448807854137445e-05
244,2.0532959326788217e-05
245,2.061711079943899e-05
246,2.070126227208976e-05
247,2.078541374474053e-05
248,2.0869565217391303e-05
249,2.0953716690042075e-05
250,2.1037868162692843e-05
251,2.112201963534362e-05
252,2.1206171107994388e-05
253,2.129032258064516e-05
254,2.1374474053295932e-05
255,2.14586255259467e-05
256,2.1542776998597476e-05
257,2.1626928471248245e-05
258,2.1711079943899017e-05
259,2.179523141654979e-05
260,2.1879382889200558e-05
261,2.196353436185133e-05
262,2.20476858345021e-05
263,2.2131837307152875e-05
264,2.2215988779803647e-05
265,2.2300140252454415e-05
266,2.2384291725105188e-05
267,2.2468443197755956e-05
268,2.2552594670406732e-05
269,2.2636746143057504e-05
270,2.2720897615708273e-05
271,2.2805049088359045e-05
272,2.2889200561009814e-05
273,2.2973352033660586e-05
274,2.305750350631136e-05
275,2.314165497896213e-05
276,2.3225806451612902e-05
277,2.330995792426367e-05
278,2.3394109396914443e-05
279,2.347826086956522e-05
280,2.3562412342215987e-05
281,2.364656381486676e-05
282,2.373071528751753e-05
283,2.38148667601683e-05
284,2.3899018232819073e-05
285,2.398316970546984e-05
286,2.4067321178120617e-05
287,2.4151472650771386e-05
288,2.4235624123422158e-05
289,2.431977559607293e-05
290,2.44039270687237e-05
291,2.4488078541374474e-05
292,2.4572230014025243e-05
293,2.4656381486676015e-05
294,2.4740532959326787e-05
295,2.4824684431977556e-05
296,2.4908835904628328e-05
297,2.4992987377279097e-05
298,2.5077138849929873e-05
299,2.5161290322580645e-05
300,2.5245441795231413e-05
301,2.5329593267882186e-05
302,2.5413744740532954e-05
303,2.549789621318373e-05
304,2.5582047685834502e-05
305,2.566619915848527e-05
306,2.5750350631136043e-05
307,2.5834502103786812e-05
308,2.5918653576437584e-05
309,2.600280504908836e-05
310,2.6086956521739128e-05
311,2.61711079943899e-05
312,2.625525946704067e-05
313,2.633941093969144e-05
314,2.6423562412342217e-05
315,2.6507713884992985e-05
316,2.6591865357643758e-05
317,2.6676016830294526e-05
318,2.67601683029453e-05
319,2.684431977559607e-05
320,2.6928471248246843e-05
321,2.7012622720897615e-05
322,2.7096774193548384e-05
323,2.7180925666199156e-05
324,2.7265077138849928e-05
325,2.7349228611500697e-05
326,2.7433380084151472e-05
327,2.751753155680224e-05
328,2.7601683029453013e-05
329,2.7685834502103785e-05
330,2.7769985974754554e-05
